Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Billy Jo Spears	Blanket On The Ground				keine	1	2026-07-14T11:11:31.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Austin				keine	2	2026-07-15T07:15:12.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Baby				keine	1	2026-07-15T01:36:14.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Don't make me				keine	2	2026-07-14T22:57:07.000Z	keine lokale Zuordnung gefunden
Blake Shelton	God gave me you				keine	1	2026-07-15T11:44:14.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Goodbye Time				keine	1	2026-07-13T21:01:04.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Hillbilly Bone				keine	1	2026-07-15T09:46:44.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Nobody but me				keine	1	2026-07-14T20:08:12.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Ol' Red				keine	2	2026-07-14T17:12:17.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Playboys of the Southwestern World				keine	1	2026-07-14T11:55:02.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Some Beach				keine	1	2026-07-14T00:50:52.000Z	keine lokale Zuordnung gefunden
Blake Shelton	The more I drink				keine	2	2026-07-15T14:18:59.000Z	keine lokale Zuordnung gefunden
Blake Shelton	Who are you when I'm not good looking				keine	2	2026-07-15T04:05:52.000Z	keine lokale Zuordnung gefunden
Bobby Bare	500 Miles Away From Home				keine	2	2026-07-15T15:57:48.000Z	keine lokale Zuordnung gefunden
Boss Band	Es gibt immer einen Grund				keine	2	2026-07-14T20:01:48.000Z	keine lokale Zuordnung gefunden
Boss Band	Portland daheim				keine	1	2026-07-14T16:18:48.000Z	keine lokale Zuordnung gefunden
Boss Band	Western Willy				keine	2	2026-07-15T09:08:41.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Be the lake				keine	1	2026-07-14T02:16:27.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Camouflage				keine	2	2026-07-14T21:40:24.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Don't drink the water				keine	1	2026-07-14T07:52:54.000Z	keine lokale Zuordnung gefunden
Brad Paisley	I do now				keine	1	2026-07-14T13:04:36.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Love her like she's leavin'				keine	1	2026-07-13T23:30:59.000Z	keine lokale Zuordnung gefunden
Brad Paisley	New Favorite Memory				keine	3	2026-07-15T11:06:04.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Old Alabama				keine	2	2026-07-15T14:11:00.000Z	keine lokale Zuordnung gefunden
Brad Paisley	One of those lives				keine	1	2026-07-15T08:10:00.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Remind me				keine	1	2026-07-14T16:14:46.000Z	keine lokale Zuordnung gefunden
Brad Paisley	This is Country Music				keine	2	2026-07-15T02:43:34.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Toothbrush				keine	1	2026-07-14T18:40:56.000Z	keine lokale Zuordnung gefunden
Brad Paisley	Walking on a tan				keine	1	2026-07-14T10:19:56.000Z	keine lokale Zuordnung gefunden
Brett Young	Dance with you				keine	1	2026-07-14T16:38:16.000Z	keine lokale Zuordnung gefunden
Brett Young	Weekends Look A Little Different These Days				keine	1	2026-07-15T00:38:28.000Z	keine lokale Zuordnung gefunden
Brothers Osborne	Nobody's nobody				keine	1	2026-07-14T00:27:16.000Z	keine lokale Zuordnung gefunden
Bryan Martin	We ride				keine	1	2026-07-14T18:23:08.000Z	keine lokale Zuordnung gefunden
C W McCall	Convoy				keine	1	2026-07-14T04:25:10.000Z	keine lokale Zuordnung gefunden
Calexico	Close Behind				keine	2	2026-07-15T11:38:26.000Z	keine lokale Zuordnung gefunden
Calexico	Muleta				keine	2	2026-07-15T04:53:52.000Z	keine lokale Zuordnung gefunden
Carly Pearce	Dream Come True				keine	2	2026-07-15T03:56:08.000Z	keine lokale Zuordnung gefunden
Carly Pearce & Riley Green	If I Don't Leave I'm Gonna Stay				keine	4	2026-07-14T22:53:37.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Out of that truck				keine	2	2026-07-15T03:28:11.000Z	keine lokale Zuordnung gefunden
Carter Faith	Betty				keine	4	2026-07-15T07:12:20.000Z	keine lokale Zuordnung gefunden
Charlie Daniels Band	The Devil Went Down To Georgia				keine	1	2026-07-13T22:23:58.000Z	keine lokale Zuordnung gefunden
Charlie Dore	Pilot Of the Airwaves				keine	1	2026-07-14T08:44:36.000Z	keine lokale Zuordnung gefunden
Charlie Pride	I'm So Afraid Of Losing You Again				keine	2	2026-07-15T10:56:00.000Z	keine lokale Zuordnung gefunden
Charlie Pride	The Easy Part's Over				keine	1	2026-07-14T22:25:03.000Z	keine lokale Zuordnung gefunden
Charlie Rich	Behind Closed Doors				keine	1	2026-07-15T06:04:56.000Z	keine lokale Zuordnung gefunden
Chase Matthew	Love you again				keine	1	2026-07-14T12:49:48.000Z	keine lokale Zuordnung gefunden
Chris Janson	Me & A Beer				keine	2	2026-07-15T03:31:04.000Z	keine lokale Zuordnung gefunden
Chris Young	Looking for you				keine	2	2026-07-15T01:02:59.000Z	keine lokale Zuordnung gefunden
Chris Young	Young love & Saturday nights				keine	1	2026-07-13T18:35:56.000Z	keine lokale Zuordnung gefunden
Clint Black	A bad goodbye				keine	1	2026-07-13T21:29:46.000Z	keine lokale Zuordnung gefunden
Clint Black	A better man				keine	1	2026-07-15T08:14:28.000Z	keine lokale Zuordnung gefunden
Clint Black	A good run of bad luck				keine	1	2026-07-15T00:06:14.000Z	keine lokale Zuordnung gefunden
Clint Black	Killin' time				keine	1	2026-07-14T01:04:55.000Z	keine lokale Zuordnung gefunden
Clint Black	Like the rain				keine	1	2026-07-15T11:02:09.000Z	keine lokale Zuordnung gefunden
Clint Black	Loving blind				keine	2	2026-07-15T02:48:43.000Z	keine lokale Zuordnung gefunden
Clint Black	Nobody's home				keine	1	2026-07-14T09:21:33.000Z	keine lokale Zuordnung gefunden
Clint Black	Nothing but the taillights				keine	1	2026-07-15T05:19:57.000Z	keine lokale Zuordnung gefunden
Clint Black	One emotion				keine	1	2026-07-14T15:07:29.000Z	keine lokale Zuordnung gefunden
Clint Black	State of mind				keine	3	2026-07-15T15:41:06.000Z	keine lokale Zuordnung gefunden
Clint Black	Summer's comin'				keine	1	2026-07-14T18:54:57.000Z	keine lokale Zuordnung gefunden
Clint Black	The shoes you're wearing				keine	2	2026-07-15T13:10:20.000Z	keine lokale Zuordnung gefunden
Clint Black	Where are you now				keine	1	2026-07-14T03:42:45.000Z	keine lokale Zuordnung gefunden
Clint Black	Wherever you go				keine	1	2026-07-13T19:24:10.000Z	keine lokale Zuordnung gefunden
Cody Johnson	Human				keine	1	2026-07-14T13:59:29.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Drinkaby				keine	1	2026-07-13T22:34:20.000Z	keine lokale Zuordnung gefunden
Cole Swindell	We Can Always Move On				keine	4	2026-07-15T10:27:40.000Z	keine lokale Zuordnung gefunden
Corey Kent	Something's gonna kill me				keine	1	2026-07-15T00:27:38.000Z	keine lokale Zuordnung gefunden
Creedence Clearwater Revival	Who'll Stop The Rain		Electric Slide | The Walking	Electric Slide | The Walking	hoch	1	2026-07-15T00:33:21.000Z	exakter Interpret-und-Titel-Abgleich
Crosby, Stills, Nash And Young	Teach Your Children				keine	1	2026-07-15T14:44:51.000Z	keine lokale Zuordnung gefunden
Crystal Gayle	Don't It Make My Brown Eyes Blue				keine	2	2026-07-15T12:02:18.000Z	keine lokale Zuordnung gefunden
