Interpret	Lied	Tanz	Bildtyp	Quelle
Heino	Die schwarze Barbara	Electric Slide	song_first	11.53.57 (5)
Heino	Die schwarze Barbara	We've got time	song_first	11.53.57 (5)
Helene Fischer	Atemlos	Black Coffee	song_first	11.53.57 (5)
Helene Fischer	Die Hölle morgen früh	Black Coffee	song_first	11.53.57 (5)
Helene Fischer	Die Hölle morgen früh	Electric Slide	song_first	11.53.57 (5)
Henri Valentino	Im Wagen vor mir	Canadian Stomp	song_first	11.53.57 (10)
Henri Valentino	Im Wagen vor mir	Country 2-Step	song_first	11.53.57 (10)
Howard Carpendale	Deine Spuren im Sand	Por ti sere	song_first	11.53.57 (10)
Howard Carpendale	Deine Spuren im Sand	Stroll along Cha Cha	song_first	11.53.57 (10)
Howard Carpendale	Fremde oder Freunde	Stroll along Cha Cha	song_first	11.53.57 (10)
Howard Carpendale	Fremde oder Freunde	The Walking	song_first	11.53.57 (10)
Howard Carpendale	Hello again	The Walking	song_first	11.53.57 (10)
Howard Carpendale	Ti amo	Heart of an Angel	song_first	11.53.57 (10)
Ibo	Ibiza	Black Coffee	song_first	11.53.57 (10)
Ibo	Ibiza	Electric Slide	song_first	11.53.57 (10)
Ireen Sheer	Tennessee Waltz	Black Coffee	song_first	11.53.57 (10)
Ireen Sheer	Tennessee Waltz	Cabo San Lucas	song_first	11.53.57 (10)
Jürgen Drews	Barfuss durch den Sommer	Electric Slide	song_first	11.53.57 (10)
Jürgen Drews	Barfuss durch den Sommer	God blessed Texas	song_first	11.53.57 (10)
Jürgen Drews	Ein Bett im Kornfeld	Black Coffee	song_first	11.53.57 (10)
Jürgen Drews	Ich bau Dir ein Schloss	Black Coffee	song_first	11.53.57 (10)
Jürgen Drews	Ich bau Dir ein Schloss	Regenbogenfarben	song_first	11.53.57 (10)
Jürgen Marcus	Ein Festival der Liebe	Come dance with me	song_first	11.53.57 (10)
Jürgen Marcus	Ein Festival der Liebe	Electric Slide	song_first	11.53.57 (10)
Karel Gott	Babicka	Bread & Butter	song_first	11.53.57 (10)
Karel Gott	Babicka	Kill the spider	song_first	11.53.57 (10)
Karneval	Eisbärn	Electric Slide	song_first	11.53.57 (10)
Kerstin Ott	Herzbewohner	We only live once	song_first	11.53.57 (10)
Kerstin Ott	Herzbewohner	We've got time	song_first	11.53.57 (10)
Kerstin Ott	Lebe laut	Good time	song_first	11.53.57 (10)
Kerstin Ott	Lebe laut	Hearts & Flowers	song_first	11.53.57 (10)
Kerstin Ott	Schau mal	Beer for my Horses	song_first	11.53.57 (10)
Kerstin Ott	Schau mal	Drinking Bone	song_first	11.53.57 (10)
Kerstin Ott	Wegen Dir	Come dance with me	song_first	11.53.57 (10)
Kerstin Ott	Wegen Dir	Electric Slide	song_first	11.53.57 (10)
KISS	I was made for lovin' you	Tush Push	song_first	11.53.57 (11)
Lasse Berghagen	Es war einmal eine Gitarre	Come dance with me	song_first	11.53.57 (11)
Lasse Berghagen	Es war einmal eine Gitarre	Electric Slide	song_first	11.53.57 (11)
Lolita	Der weisse Mond von Maratonga	Waltz accross Texas	song_first	11.53.57 (11)
Lolita	Seemann, Deine Heimat	Bread & Butter	song_first	11.53.57 (11)
Lolita	Seemann, Deine Heimat	The Walking	song_first	11.53.57 (11)
Maite Kelly	Dass es uns noch gibt	Electric Slide	song_first	11.53.57 (11)
Maite Kelly	Dass es uns noch gibt	Tush Push	song_first	11.53.57 (11)
Maite Kelly	Es war noch nie so schön	Electric Slide	song_first	11.53.57 (11)
Maite Kelly	Es war noch nie so schön	God blessed Texas	song_first	11.53.57 (11)
Maite Kelly	Heute Nacht für immer	Black Coffee	song_first	11.53.57 (11)
Maite Kelly	Heute Nacht für immer	Electric Slide	song_first	11.53.57 (11)
Maite Kelly	Jetzt oder nie	Black Coffee	song_first	11.53.57 (11)
Maite Kelly	Jetzt oder nie	Regenbogenfarben	song_first	11.53.57 (11)
Marianne Rosenberg	Er gehört zu mir	Black Coffee	song_first	11.53.57 (11)
Marianne Rosenberg	Er gehört zu mir	Electric Slide	song_first	11.53.57 (11)
Marianne Rosenberg	Ich bin wie Du	Electric Slide	song_first	11.53.57 (11)
Marianne Rosenberg	Ich bin wie Du	We've got time	song_first	11.53.57 (11)
Matthias Reim	Tattoo	Black Coffee	song_first	11.53.57 (11)
Matthias Reim	Tattoo	God blessed Texas	song_first	11.53.57 (11)
Michael Holm	Mendocino	Anything for love	song_first	11.53.57 (11)
Michael Holm	Mendocino	Homeward Bound	song_first	11.53.57 (11)
Michael Holm	Nur ein Kuss, Maddalena	Down on your uppers	song_first	11.53.57 (11)
Michael Holm	Nur ein Kuss, Maddalena	Honky Tonk	song_first	11.53.57 (11)
Mr. President	Coco Jambo	Corazon Diamante	song_first	11.53.57 (11)
Nena	99 Luftballons	Canadian Stomp	song_first	11.53.57 (11)
Nena	Leuchtturm	Canadian Stomp	song_first	11.53.57 (11)
Nickerbocker & Biene	Z'ruck zu Dir	Black Coffee	song_first	11.53.57 (11)
Nickerbocker & Biene	Z'ruck zu Dir	White Rose	song_first	11.53.57 (11)
Pietro Lombardi	Senza te	Corazon Diamante	song_first	11.53.57 (11)
Plastic Bertrand	Ca Plane Pour Moi	My new live	song_first	11.53.57 (11)
Relax	A weisses Blattl Papier	Stroll along Cha Cha	song_first	11.53.57 (11)
Rex Gildo	Fiesta Mexicana	All over again	song_first	11.53.57 (11)
Rex Gildo	Fiesta Mexicana	Go seven	song_first	11.53.57 (11)
Rodgau Monotones	Die Hesse komme	Uptown funky	song_first	11.53.57 (11)
Roland Kaiser	Joana	Beer for my Horses	song_first	11.53.57 (11)
Roland Kaiser	Joana	Strong enough	song_first	11.53.57 (11)
Roland Kaiser	Kurios	Ala freackin' bama	song_first	11.53.57 (11)
Roland Kaiser	Kurios	Beer for my Horses	song_first	11.53.57 (11)
Roxette	The Look	Canadian Stomp	song_first	11.53.57 (11)
S.T.S.	Fürstenfeld	Country 2-Step	song_first	11.53.57 (13)
Santiano	Könnt Ihr mich hören	Ala freackin' bama	song_first	11.53.57 (11)
Santiano	Könnt Ihr mich hören	Country Walking	song_first	11.53.57 (11)
Semino Rossi	Das verflixte 7. Jahr	Bread & Butter	song_first	11.53.57 (13)
Semino Rossi	Das verflixte 7. Jahr	Go seven	song_first	11.53.57 (13)
Semino Rossi	Hola hola	All over again	song_first	11.53.57 (13)
Semino Rossi	Hola hola	Electric Slide	song_first	11.53.57 (13)
Semino Rossi	Rot sind die Rosen	Heart of an Angel	song_first	11.53.57 (11)
Showaddywaddy	Under the Moon of love	Anything for love	song_first	11.53.57 (13)
Showaddywaddy	Under the Moon of love	Homeward Bound	song_first	11.53.57 (13)
Smokie	Living next Door to Alice	Come dance with me	song_first	11.53.57 (13)
Smokie	Living next Door to Alice	The Walking	song_first	11.53.57 (13)
Spider Murphy Gang	Schickeria	Mama Loo	song_first	11.53.57 (13)
Spider Murphy Gang	Skandal im Sperrbezirk	Alcohol	song_first	11.53.57 (13)
Status Quo	Rockin' all over the world	Honky Tonk	song_first	11.53.57 (13)
Status Quo	Rockin' all over the world	Slapping Leather	song_first	11.53.57 (13)
Sweet	Co-Co	Black Coffee	song_first	11.53.57 (13)
Udo Jürgens	Aber bitte mit Sahne	All over again	song_first	11.53.57 (13)
Udo Jürgens	Aber bitte mit Sahne	First Class	song_first	11.53.57 (13)
Udo Jürgens	Ein ehrenwertes Haus	Beer for my Horses	song_first	11.53.57 (13)
Udo Jürgens	Ein ehrenwertes Haus	Black Coffee	song_first	11.53.57 (13)
Udo Jürgens	Griechischer Wein	Anything for love	song_first	11.53.57 (13)
Udo Jürgens	Griechischer Wein	Joana	song_first	11.53.57 (13)
Udo Jürgens	Mit 66 Jahren	Black Coffee	song_first	11.53.57 (13)
Udo Jürgens	Mit 66 Jahren	Electric Slide	song_first	11.53.57 (13)
Vanessa Mai	Ich sterb für Dich	Bread & Butter	song_first	11.53.57 (13)
Vanessa Mai	Ich sterb für Dich	Tush Push	song_first	11.53.57 (13)
Vengaboys	Shalala Lala	Black Coffee	song_first	11.53.57 (13)
Vengaboys	Shalala Lala	Electric Slide	song_first	11.53.57 (13)
Village People	Y.M.C.A.	Black Coffee	song_first	11.53.57 (13)
Village People	Y.M.C.A.	Good time	song_first	11.53.57 (13)
Voxxclub	Donnerwedda	Not fair	song_first	11.53.57 (13)
Voxxclub	Donnerwedda	Patsy Fagan	song_first	11.53.57 (13)
Voxxclub	Rock mi	Canadian Stomp	song_first	11.53.57 (13)
Wanda Jackson	Santo Domingo	Por ti sere	song_first	11.53.57 (13)
Wanda Jackson	Santo Domingo	Stroll along Cha Cha	song_first	11.53.57 (13)
Wolfgang Petry	Augen zu und durch	Chattahoochee	song_first	11.53.57 (13)
Wolfgang Petry	Augen zu und durch	Tush Push	song_first	11.53.57 (13)
Wolfgang Petry	Wahnsinn	Black Coffee	song_first	11.53.57 (13)
Wolfgang Petry	Wahnsinn	Bread & Butter	song_first	11.53.57 (13)
Wolfgang Petry	Weiss der Geier	Chattahoochee	song_first	11.53.57 (13)
Wolfgang Petry	Weiss der Geier	Honky Tonk	song_first	11.53.57 (13)
