Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Brooks & Dunn	Ain't Nothing 'Bout You				keine	1	2026-07-15T14:31:19.000Z	keine lokale Zuordnung gefunden
Brooks & Dunn	Boot Scootin' Boogie				keine	1	2026-07-13T21:18:10.000Z	keine lokale Zuordnung gefunden
Brooks and Dunn	My Maria				keine	3	2026-07-15T02:18:12.000Z	keine lokale Zuordnung gefunden
Brooks and Dunn	Play Something Country				keine	1	2026-07-15T07:44:38.000Z	keine lokale Zuordnung gefunden
Brothers Osborne	Stay A Little Longer				keine	2	2026-07-14T21:41:33.000Z	keine lokale Zuordnung gefunden
Cadillac Sky	Motel Morning				keine	3	2026-07-15T16:23:48.000Z	keine lokale Zuordnung gefunden
Cam	Burning House				keine	3	2026-07-15T00:02:12.000Z	keine lokale Zuordnung gefunden
Canaan Smith	Love You Like That				keine	2	2026-07-14T17:27:36.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Blown Away				keine	4	2026-07-15T07:51:08.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Cowboy Casanova				keine	1	2026-07-13T23:23:56.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Dirty Laundry				keine	2	2026-07-15T04:35:13.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	I Told You So				keine	2	2026-07-14T10:13:43.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Lessons Learned				keine	4	2026-07-14T23:12:18.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	See You Again				keine	1	2026-07-14T12:27:55.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Smoke Break				keine	2	2026-07-15T14:26:42.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Something In The Water				keine	1	2026-07-15T10:24:22.000Z	keine lokale Zuordnung gefunden
Cash Johnny	First Time Ever I Saw Your Face				keine	2	2026-07-15T12:20:59.000Z	keine lokale Zuordnung gefunden
Cash Johnny	I Hung My Head				keine	1	2026-07-14T06:36:16.000Z	keine lokale Zuordnung gefunden
Cash Johnny & Carter June	Jackson				keine	5	2026-07-15T11:02:05.000Z	keine lokale Zuordnung gefunden
Cassadee Pope	Stupid Boy				keine	2	2026-07-14T07:49:54.000Z	keine lokale Zuordnung gefunden
Cassadee Pope	Wasting All These Tears				keine	2	2026-07-14T20:23:25.000Z	keine lokale Zuordnung gefunden
Charley Pride	Honky Tonk Blues				keine	2	2026-07-14T06:20:13.000Z	keine lokale Zuordnung gefunden
Charlie Rich	Behind closed doors				keine	3	2026-07-15T11:42:40.000Z	keine lokale Zuordnung gefunden
Charlie Rich	The Most Beautiful Girl				keine	2	2026-07-15T11:14:11.000Z	keine lokale Zuordnung gefunden
Chase Bryant	Little Bit Of You				keine	2	2026-07-14T17:18:51.000Z	keine lokale Zuordnung gefunden
Chase Bryant	Take It On Back				keine	1	2026-07-14T20:49:19.000Z	keine lokale Zuordnung gefunden
Chase Rice	Gonna Wanna Tonight				keine	2	2026-07-15T14:23:07.000Z	keine lokale Zuordnung gefunden
